pref,pref_code,cat,date,shop,addr,lat,lon,lat_i,lon_i
kanagawa,14,コンビニ,2025-11-16,法人番号6021003009558合同会社Ｌ・Ｇ・ＣＭＡＸローソン横浜四季の森店,横浜市旭区上白根町９０２番地９,35.496136,139.531738,8519,6325
kanagawa,14,コンビニ,2025-11-29,法人番号9020003007833合同会社ｙ・ｎセブン－イレブン横浜上白根町店,横浜市旭区上白根町９０４番地１,35.495461,139.529907,8518,6324
kanagawa,14,コンビニ,2025-11-21,法人番号8020002063432有限会社播村ローソン横浜岡村八丁目店,横浜市磯子区岡村８丁目１番７号,35.411678,139.606735,8498,6337
kanagawa,14,コンビニ,2025-11-30,法人番号8020002083595有限会社米八商事ファミリーマート新横浜駅前店,横浜市港北区新横浜２丁目４番地１５太田興産ビル新横浜１階,35.508781,139.616241,8522,6338
kanagawa,14,コンビニ,2025-11-01,神田幸子セブン－イレブン横浜戸塚吉田町店,横浜市戸塚区吉田町６２２番地２,35.406246,139.537949,8497,6326
kanagawa,14,コンビニ,2025-11-13,小池敦セブン－イレブン横浜栄小菅ケ谷４丁目店,横浜市栄区小菅ケ谷４丁目１４番３０号タカミ・エム１階,35.378357,139.552612,8490,6328
kanagawa,14,コンビニ,2025-11-01,法人番号9021002006108有限会社ティーワイプランニングファミリーマート緑つくし野店,横浜市緑区長津田町４２３２番地１,35.520386,139.48912,8524,6318
kanagawa,14,ドラッグ・薬局,2025-11-25,法人番号1040001036939株式会社マツモトキヨシ薬マツモトキヨシ川崎大師駅前店,川崎市川崎区大師駅前１丁目６番４号太田ビル１階及び２階,35.53511,139.72702,8528,6356
kanagawa,14,コンビニ,2025-11-12,中村純平ファミリーマート円行二丁目店,藤沢市円行２丁目１３番１２号,35.392586,139.46051,8494,6313
kochi,39,ドラッグ・薬局,2025-11-07,法人番号8500001015385株式会社西日本セイムスドラッグセイムス高知北本町店,高知市北本町一丁目１０番２６号,33.56638,133.540298,8055,5366
kochi,39,コンビニ,2025-11-30,髙橋博之ファミリーマート高知北本町店,高知市北本町三丁目１番７号,33.564072,133.547974,8055,5367
kochi,39,コンビニ,2025-11-30,法人番号3490002001060有限会社鏡川商事ファミリーマート桟橋通四丁目店,高知市桟橋通四丁目１番３１号,33.545521,133.549606,8050,5367
kochi,39,コンビニ,2025-11-01,木村保乃可ローソン土佐清水旭町店,土佐清水市旭町４５０番地,32.781345,132.960541,7867,5273
kumamoto,43,コンビニ,2025-11-14,法人番号8330002015914株式会社あきん堂ローソン熊本城山半田店,熊本市西区城山半田一丁目９番１５号,32.773849,130.656525,7865,4905
kumamoto,43,コンビニ,2025-11-20,法人番号4010001008806山崎製パン株式会社デイリーヤマザキ熊本改寄町店,熊本市北区改寄町１７６１番４,32.89674,130.710022,7895,4913
kumamoto,43,コンビニ,2025-11-30,待井雄一朗ファミリーマート熊本近見七丁目店,熊本市南区近見七丁目１３番１００号,32.754238,130.691223,7861,4910
kumamoto,43,コンビニ,2025-11-30,佐藤勇ファミリーマート熊本帯山六丁目店,熊本市中央区帯山六丁目８番４８号,32.801437,130.757446,7872,4921
mie,24,スーパー,2025-11-05,法人番号8010901017654株式会社アエナアエナイオンモール津南店,津市高茶屋小森町145番地イオンモール津南2階2004,34.670269,136.517746,8320,5842
mie,24,コンビニ,2025-11-01,王悦臣ローソンいなべ北勢町阿下喜店,いなべ市北勢町阿下喜223番地1,35.151623,136.518906,8436,5843
mie,24,コンビニ,2025-11-19,ＴＡＭＡＮＧＣＨＩＴＲＡＢＡＨＡＤＵＲセブン－イレブン鈴鹿神戸8丁目店,鈴鹿市神戸八丁目33番30号,34.887188,136.584137,8372,5853
miyagi,04,コンビニ,2025-11-25,大野篤志セブン－イレブン大和吉岡上柴崎店,黒川郡大和町吉岡字上柴崎34番地の1,38.442062,140.896194,9226,6543
miyagi,04,コンビニ,2025-11-01,法人番号4010001030181ミニストップ株式会社ミニストップ仙台長嶺店,仙台市太白区長嶺8番6号,38.236504,140.867462,9176,6538
miyagi,04,スーパー,2025-11-18,法人番号3370401000427株式会社ウジエスーパーウジエスーパー広瀬橋店,仙台市太白区長町一丁目7番38号パシフィックマンション広瀬橋1階,38.234676,140.887634,9176,6542
miyagi,04,コンビニ,2025-11-30,松本慶紀ファミリーマート名取高舘吉田店,名取市高舘吉田字野来29番地1,38.180016,140.872589,9163,6539
miyagi,04,ドラッグ・薬局,2025-11-26,法人番号5100001011907株式会社モリキドラッグセイムス石巻東中里店,石巻市東中里二丁目11番12号,38.441231,141.308548,9225,6609
miyagi,04,コンビニ,2025-11-01,法人番号2370202005106有限会社さこうローソン大崎田尻店,大崎市田尻沼部字富岡浦121番地2,38.6077,141.054764,9265,6568
miyagi,04,コンビニ,2025-11-01,法人番号4010001030181ミニストップ株式会社ミニストップ宮城柴田剣崎店,柴田郡柴田町大字下名生字剣水58番地,38.064411,140.804718,9135,6528
